block_name,latency(ms)
Conv-input:224x224x3-output:112x112x32,2.47711
Conv_1-input:7x7x320-output:7x7x1280,1.49145
Logits-input:7x7x1280-output:1000,0.645081
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:3-stride:2-idskip:0,1.93477
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:5-stride:2-idskip:0,2.18567
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:7-stride:2-idskip:0,4.00142
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:3-stride:2-idskip:0,3.40939
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:5-stride:2-idskip:0,3.82527
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:7-stride:2-idskip:0,7.34209
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:3-stride:1-idskip:0,3.18278
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:5-stride:1-idskip:0,3.54287
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:7-stride:1-idskip:0,7.53966
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:3-stride:1-idskip:1,0.942383
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:5-stride:1-idskip:1,0.970409
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:7-stride:1-idskip:1,1.3876
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:3-stride:1-idskip:1,1.62647
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:5-stride:1-idskip:1,1.71236
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:7-stride:1-idskip:1,2.4608
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:3-stride:1-idskip:0,0.932896
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:5-stride:1-idskip:0,0.956331
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:7-stride:1-idskip:0,1.37445
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:3-stride:1-idskip:0,1.6306
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:5-stride:1-idskip:0,1.67379
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:7-stride:1-idskip:0,2.45983
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:3-stride:1-idskip:1,1.26496
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:5-stride:1-idskip:1,1.15832
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:7-stride:1-idskip:1,1.64503
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:3-stride:1-idskip:1,2.11276
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:5-stride:1-idskip:1,2.18582
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:7-stride:1-idskip:1,3.09462
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:3-stride:2-idskip:0,0.795036
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:5-stride:2-idskip:0,0.821681
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:7-stride:2-idskip:0,1.00186
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:3-stride:2-idskip:0,1.49354
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:5-stride:2-idskip:0,1.49649
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:7-stride:2-idskip:0,1.82075
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:3-stride:2-idskip:0,0.589112
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:5-stride:2-idskip:0,0.640882
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:7-stride:2-idskip:0,0.903663
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:3-stride:2-idskip:0,1.09345
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:5-stride:2-idskip:0,1.20932
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:7-stride:2-idskip:0,1.7508
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:3-stride:1-idskip:1,1.21676
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:5-stride:1-idskip:1,1.29472
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:7-stride:1-idskip:1,2.27271
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:3-stride:1-idskip:1,2.28021
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:5-stride:1-idskip:1,2.42694
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:7-stride:1-idskip:1,4.21878
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:3-stride:2-idskip:0,0.988177
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:5-stride:2-idskip:0,1.08661
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:7-stride:2-idskip:0,1.74384
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:3-stride:2-idskip:0,1.80373
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:5-stride:2-idskip:0,2.01132
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:7-stride:2-idskip:0,3.31368
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:3-stride:1-idskip:1,2.09988
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:5-stride:1-idskip:1,2.2253
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:7-stride:1-idskip:1,4.47747
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:3-stride:1-idskip:1,3.9571
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:5-stride:1-idskip:1,4.35644
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:7-stride:1-idskip:1,8.78192
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:3-stride:1-idskip:1,1.19875
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:5-stride:1-idskip:1,1.18663
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:7-stride:1-idskip:1,1.37134
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:3-stride:1-idskip:1,2.27007
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:5-stride:1-idskip:1,2.25556
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:7-stride:1-idskip:1,2.62106
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:3-stride:1-idskip:0,1.83051
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:5-stride:1-idskip:0,1.81397
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:7-stride:1-idskip:0,2.0038
expanded_conv-input:7x7x192-output:7x7x320-expand:6-kernel:3-stride:1-idskip:0,3.48769
expanded_conv-input:7x7x192-output:7x7x320-expand:6-kernel:5-stride:1-idskip:0,3.48555
expanded_conv-input:7x7x192-output:7x7x320-expand:6-kernel:7-stride:1-idskip:0,3.8525
