,block_name,cpu_b,cpu_s,gpu
0,Conv-input:32x32x3-output:16x16x32,0.0840948,0.141983,0.227741
1,expanded_conv-input:16x16x32-output:16x16x16-expand:1-kernel:3-stride:1-idskip:0,0.146825,0.246473,0.382729
2,expanded_conv-input:16x16x16-output:8x8x24-expand:3-kernel:3-stride:2-idskip:0,0.123288,0.259053,0.443163
3,expanded_conv-input:16x16x16-output:8x8x24-expand:6-kernel:3-stride:2-idskip:0,0.166644,0.298897,0.58648
4,expanded_conv-input:16x16x16-output:8x8x24-expand:3-kernel:5-stride:2-idskip:0,0.144247,0.249557,0.392028
5,expanded_conv-input:16x16x16-output:8x8x24-expand:6-kernel:5-stride:2-idskip:0,0.218743,0.36374,0.583001
6,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:3-stride:1-idskip:0,0.115568,0.213939,0.384773
7,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:3-stride:1-idskip:1,0.135737,0.249276,0.408007
8,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:3-stride:1-idskip:0,0.14013,0.262711,0.62869
9,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:3-stride:1-idskip:1,0.157955,0.324644,0.716695
10,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:5-stride:1-idskip:0,0.149029,0.226203,0.435962
11,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:5-stride:1-idskip:1,0.147973,0.257823,0.443233
12,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:5-stride:1-idskip:0,0.171208,0.299513,0.738287
13,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:5-stride:1-idskip:1,0.185108,0.334777,0.71111
14,expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:3-stride:2-idskip:0,0.108116,0.197884,0.418794
15,expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:3-stride:2-idskip:0,0.129883,0.24131,0.652155
16,expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:5-stride:2-idskip:0,0.120228,0.230444,0.442294
17,expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:5-stride:2-idskip:0,0.152979,0.348701,0.66266
18,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:3-stride:1-idskip:0,0.108344,0.269593,0.433495
19,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:3-stride:1-idskip:1,0.130167,0.231242,0.478116
20,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:3-stride:1-idskip:0,0.140448,0.255754,0.692447
21,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:3-stride:1-idskip:1,0.153937,0.329109,0.698874
22,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:5-stride:1-idskip:0,0.114011,0.201683,0.437684
23,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:5-stride:1-idskip:1,0.133289,0.240253,0.474931
24,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:5-stride:1-idskip:0,0.145061,0.243425,0.745343
25,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:5-stride:1-idskip:1,0.162156,0.284854,0.708845
26,expanded_conv-input:4x4x40-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.113402,0.208721,0.466721
27,expanded_conv-input:4x4x40-output:4x4x80-expand:6-kernel:3-stride:1-idskip:0,0.140645,0.351456,0.748315
28,expanded_conv-input:4x4x40-output:4x4x80-expand:3-kernel:5-stride:1-idskip:0,0.118353,0.26003,0.447046
29,expanded_conv-input:4x4x40-output:4x4x80-expand:6-kernel:5-stride:1-idskip:0,0.149826,0.325876,0.7054
30,expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.154147,0.271122,0.794165
31,expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:3-stride:1-idskip:1,0.172661,0.308638,0.818838
32,expanded_conv-input:4x4x80-output:4x4x80-expand:6-kernel:3-stride:1-idskip:0,0.220147,0.481082,1.37956
33,expanded_conv-input:4x4x80-output:4x4x80-expand:6-kernel:3-stride:1-idskip:1,0.249937,0.72089,1.4732
34,expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:5-stride:1-idskip:0,0.1647,0.323887,0.811907
35,expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:5-stride:1-idskip:1,0.182193,0.719088,0.843558
36,expanded_conv-input:4x4x80-output:4x4x80-expand:6-kernel:5-stride:1-idskip:0,0.244529,0.677527,1.39879
37,expanded_conv-input:4x4x80-output:4x4x80-expand:6-kernel:5-stride:1-idskip:1,0.257128,0.608959,1.42441
38,expanded_conv-input:4x4x80-output:2x2x96-expand:3-kernel:3-stride:2-idskip:0,0.128135,0.232601,0.772787
39,expanded_conv-input:4x4x80-output:2x2x96-expand:6-kernel:3-stride:2-idskip:0,0.240569,0.330605,1.35627
40,expanded_conv-input:4x4x80-output:2x2x96-expand:3-kernel:5-stride:2-idskip:0,0.146764,0.396288,0.818886
41,expanded_conv-input:4x4x80-output:2x2x96-expand:6-kernel:5-stride:2-idskip:0,0.213259,0.55871,1.37378
42,expanded_conv-input:2x2x96-output:2x2x96-expand:3-kernel:3-stride:1-idskip:0,0.112295,0.21315,0.875977
43,expanded_conv-input:2x2x96-output:2x2x96-expand:3-kernel:3-stride:1-idskip:1,0.129841,0.307803,0.927827
44,expanded_conv-input:2x2x96-output:2x2x96-expand:6-kernel:3-stride:1-idskip:0,0.144667,0.293524,1.44008
45,expanded_conv-input:2x2x96-output:2x2x96-expand:6-kernel:3-stride:1-idskip:1,0.156386,0.344795,1.43301
46,expanded_conv-input:2x2x96-output:2x2x96-expand:3-kernel:5-stride:1-idskip:0,0.117237,0.223299,0.903605
47,expanded_conv-input:2x2x96-output:2x2x96-expand:3-kernel:5-stride:1-idskip:1,0.132414,0.276725,0.923507
48,expanded_conv-input:2x2x96-output:2x2x96-expand:6-kernel:5-stride:1-idskip:0,0.151664,0.333286,1.47301
49,expanded_conv-input:2x2x96-output:2x2x96-expand:6-kernel:5-stride:1-idskip:1,0.226955,0.47874,1.46367
50,expanded_conv-input:2x2x96-output:2x2x192-expand:3-kernel:3-stride:1-idskip:0,0.12395,0.243848,0.898645
51,expanded_conv-input:2x2x96-output:2x2x192-expand:6-kernel:3-stride:1-idskip:0,0.213079,0.402553,1.4723
52,expanded_conv-input:2x2x96-output:2x2x192-expand:3-kernel:5-stride:1-idskip:0,0.129381,0.300357,0.869075
53,expanded_conv-input:2x2x96-output:2x2x192-expand:6-kernel:5-stride:1-idskip:0,0.250719,0.512148,1.44398
54,Conv_1-input:2x2x192-output:2x2x512,0.380256,0.421474,0.820115
55,Logits-input:2x2x512-output:10,0.581441,0.726764,0.751199
56,expanded_conv-input:4x4x40-output:2x2x80-expand:3-kernel:3-stride:2-idskip:0,0.213259,0.55871,1.37378
57,expanded_conv-input:2x2x80-output:2x2x96-expand:3-kernel:3-stride:1-idskip:0,0.112295,0.21315,0.875977
58,Conv_1-input:2x2x96-output:2x2x512,0.380256,0.421474,0.820115
59,expanded_conv-input:4x4x40-output:2x2x80-expand:6-kernel:5-stride:2-idskip:0,0.213259,0.55871,1.37378
60,expanded_conv-input:2x2x80-output:2x2x96-expand:6-kernel:3-stride:1-idskip:0,0.213079,0.402553,1.4723
61,expanded_conv-input:4x4x40-output:2x2x80-expand:6-kernel:3-stride:2-idskip:0,0.240569,0.330605,1.35627
62,expanded_conv-input:4x4x40-output:2x2x80-expand:3-kernel:5-stride:2-idskip:0,0.146764,0.396288,0.818886
63,expanded_conv-input:2x2x80-output:2x2x96-expand:6-kernel:5-stride:1-idskip:0,0.213079,0.402553,1.4723
64,expanded_conv-input:2x2x80-output:2x2x96-expand:3-kernel:5-stride:1-idskip:0,0.203079,0.292553,1.023
65,expanded_conv-input:16x16x40-output:8x8x80-expand:6-kernel:5-stride:2-idskip:0,0.203079,0.292553,1.023
66,expanded_conv-input:16x16x24-output:8x8x40-expand:6-kernel:5-stride:2-idskip:0,0.203079,0.292553,1.023


